City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
102,Broken Hill,AU,-31.95,141.4333,87.44,26,35,8.19,scattered clouds
103,Ixtapa,MX,20.7,-105.2,70.83,73,20,0.0,few clouds
104,Lebu,CL,-37.6167,-73.65,57.33,91,0,20.76,clear sky
105,Kuri,KR,37.5986,127.1394,37.08,62,56,3.89,broken clouds
106,Bemidji,US,47.4736,-94.8803,17.37,100,100,8.05,overcast clouds
107,Tasiilaq,GL,65.6145,-37.6368,6.96,72,11,6.13,few clouds
108,Kaifeng,CN,34.7911,114.3483,42.73,23,1,5.84,clear sky
109,Susuman,RU,62.7833,148.1667,-24.84,99,100,0.67,overcast clouds
110,Muyezerskiy,RU,63.9333,31.65,17.98,93,98,12.06,overcast clouds
111,Mahebourg,MU,-20.4081,57.7,82.26,73,40,2.3,scattered clouds
112,Minudasht,IR,37.2289,55.3747,42.37,93,75,0.0,broken clouds
113,Poienile De Sub Munte,RO,47.8167,24.4333,36.19,94,100,0.89,overcast clouds
114,Nanortalik,GL,60.1432,-45.2371,17.17,79,6,7.72,clear sky
115,Bangolo,CI,7.0069,-7.475,67.42,66,30,1.72,scattered clouds
116,Cherskiy,RU,68.75,161.3,-45.0,100,87,4.21,overcast clouds
117,Kasama,ZM,-10.2129,31.1808,60.98,98,100,3.13,overcast clouds
118,Chernyshevskiy,RU,63.0128,112.4714,-35.46,100,37,3.15,scattered clouds
119,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,100,34.52,light rain
120,Krasnoselkup,RU,65.7,82.4667,-16.83,100,86,7.05,overcast clouds
121,Awjilah,LY,29.1081,21.2869,54.0,86,1,6.46,clear sky
122,Butaritari,KI,3.0707,172.7902,81.28,75,76,13.47,broken clouds
123,Herran,CO,7.5061,-72.4833,59.2,98,86,1.81,overcast clouds
124,Makinsk,KZ,52.6292,70.4169,8.22,96,98,3.89,overcast clouds
125,Avarua,CK,-21.2078,-159.775,82.45,83,75,5.75,broken clouds
126,Geraldton,AU,-28.7667,114.6,79.21,65,0,16.11,clear sky
127,Richards Bay,ZA,-28.783,32.0377,68.11,88,100,15.41,light rain
128,Puerto Del Rosario,ES,28.5004,-13.8627,60.55,72,0,4.61,clear sky
129,Bredasdorp,ZA,-34.5322,20.0403,59.38,56,99,10.78,overcast clouds
130,San Quintin,MX,30.4833,-115.95,58.37,74,33,10.2,scattered clouds
131,Faanui,PF,-16.4833,-151.75,81.45,73,23,13.51,few clouds
132,Makakilo City,US,21.3469,-158.0858,75.52,70,100,4.61,overcast clouds
133,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,24,0,11.5,clear sky
134,Sao Filipe,CV,14.8961,-24.4956,71.33,65,27,7.4,scattered clouds
135,Manzanillo,CU,20.3433,-77.1167,72.55,82,14,5.12,few clouds
136,Farmington,US,36.7281,-108.2187,34.48,73,100,7.0,overcast clouds
137,Carmen,MX,18.6333,-91.8333,76.87,83,53,11.23,broken clouds
138,Necochea,AR,-38.5473,-58.7368,61.92,73,18,2.68,few clouds
139,Saskylakh,RU,71.9167,114.0833,-1.16,88,100,22.86,overcast clouds
140,Peniche,PT,39.3558,-9.3811,63.1,89,100,21.09,overcast clouds
141,Cidreira,BR,-30.1811,-50.2056,66.24,69,0,8.21,clear sky
142,Pevek,RU,69.7008,170.3133,-29.61,100,100,4.05,overcast clouds
143,Jamestown,US,42.097,-79.2353,51.44,76,100,6.91,overcast clouds
144,Nalgonda,IN,17.05,79.2667,79.0,52,7,3.83,clear sky
145,Tubuala,PA,9.5167,-79.0333,79.61,82,84,13.4,light rain
146,Thompson,CA,55.7435,-97.8558,5.16,85,100,6.91,light snow
147,Hofn,IS,64.2539,-15.2082,17.49,69,16,19.86,few clouds
148,Olbia,IT,40.9214,9.4856,51.85,82,0,2.3,clear sky
149,Isla Vista,US,34.4133,-119.861,57.83,87,100,3.44,overcast clouds
150,Shache,CN,38.4167,77.2406,27.72,40,100,3.09,overcast clouds
151,Hobyo,SO,5.3505,48.5268,77.67,74,14,16.37,few clouds
152,Kargil,IN,34.5667,76.1,18.39,91,100,3.85,light snow
153,San Patricio,US,28.017,-97.5169,69.84,91,100,5.41,overcast clouds
154,Norman Wells,CA,65.282,-126.8329,-18.36,76,20,3.44,few clouds
155,Klaksvik,FO,62.2266,-6.589,32.92,69,93,23.47,overcast clouds
156,Constitucion,CL,-35.3333,-72.4167,57.25,82,0,6.24,clear sky
157,Chokurdakh,RU,70.6333,147.9167,-42.2,100,87,6.6,overcast clouds
158,Ingham,US,42.6,-84.3833,53.22,86,100,8.05,overcast clouds
159,Sinnamary,GF,5.3833,-52.95,75.96,88,90,7.38,overcast clouds
160,Antofagasta,CL,-23.65,-70.4,63.68,83,40,2.77,scattered clouds
161,Tromso,NO,69.6496,18.957,33.82,60,20,28.77,few clouds
162,Marfino,RU,55.7028,37.3822,30.45,100,100,6.71,mist
163,Bougouni,ML,11.417,-7.479,69.33,24,100,5.35,overcast clouds
164,Dobric,RS,44.7019,19.5814,40.8,73,13,4.47,few clouds
165,New Norfolk,AU,-42.7826,147.0587,72.91,39,7,1.99,clear sky
166,Samarai,PG,-10.6167,150.6667,84.0,70,100,11.25,overcast clouds
167,Kodiak,US,57.79,-152.4072,38.71,93,100,14.97,light rain
168,Ponta Do Sol,PT,32.6667,-17.1,67.12,25,11,6.35,few clouds
169,Port Hedland,AU,-20.3167,118.5667,102.25,37,40,18.41,scattered clouds
170,Dumas,US,35.8656,-101.9732,37.54,48,0,0.0,clear sky
171,Dingle,PH,10.9995,122.6711,84.04,76,100,9.15,overcast clouds
172,Wonthaggi,AU,-38.6044,145.5913,72.82,70,1,9.93,clear sky
173,George Town,MY,5.4112,100.3354,87.73,65,20,10.36,few clouds
174,Yumen,CN,40.2833,97.2,20.53,45,96,13.4,overcast clouds
175,Virginia Beach,US,36.8529,-75.978,50.02,69,0,5.75,clear sky
176,Deputatskiy,RU,69.3,139.9,-37.8,98,71,4.99,broken clouds
177,Alyangula,AU,-13.8483,136.4192,87.03,65,77,18.7,light rain
178,Borba,BR,-4.3878,-59.5939,72.19,98,98,2.13,light rain
179,Keuruu,FI,62.2667,24.7,32.18,96,100,11.54,light snow
180,Myaundzha,RU,63.0494,147.1858,-27.47,97,100,1.59,overcast clouds
181,Kashira,RU,54.8444,38.1669,26.96,97,100,5.23,light snow
182,Haines Junction,CA,60.7522,-137.5108,-11.25,84,100,1.14,overcast clouds
183,Byron Bay,AU,-28.65,153.6167,70.95,85,79,12.26,broken clouds
184,Abashiri,JP,44.0213,144.2697,28.69,59,75,8.05,broken clouds
185,Nevsehir,TR,38.9167,34.6667,24.01,93,0,0.0,clear sky
186,Pisco,PE,-13.7,-76.2167,69.85,83,40,5.75,scattered clouds
187,Marystown,CA,47.1666,-55.1483,25.5,69,70,11.63,broken clouds
188,Dzialdowo,PL,53.2396,20.17,41.13,94,80,11.25,broken clouds
189,Tilichiki,RU,60.4667,166.1,-11.7,93,100,12.39,overcast clouds
190,Vao,NC,-22.6667,167.4833,77.9,87,97,23.73,light rain
191,Burnie,AU,-41.0667,145.9167,65.95,65,100,11.12,light rain
192,Ruangwa,TZ,-10.0667,38.9333,71.04,95,86,2.1,overcast clouds
193,Aitape,PG,-3.1374,142.3475,80.85,80,100,7.25,overcast clouds
194,Grindavik,IS,63.8424,-22.4338,18.07,62,40,13.8,scattered clouds
195,Tadpatri,IN,14.9167,78.0167,79.52,57,1,5.03,clear sky
196,The Valley,AI,18.217,-63.0578,78.66,76,2,21.72,clear sky
197,Portland,US,45.5234,-122.6762,50.29,94,100,14.97,heavy intensity rain
198,Wufeng,CN,27.45,104.8333,32.34,83,99,2.93,overcast clouds
199,Samsun,TR,41.25,36.3333,50.0,59,0,4.61,clear sky
200,Srivardhan,IN,18.0333,73.0167,80.24,46,6,3.0,clear sky
201,Pacific Grove,US,36.6177,-121.9166,54.64,93,100,3.0,overcast clouds
202,Severo-Kurilsk,RU,50.6789,156.125,24.89,80,100,20.87,light snow
203,Smithers,CA,54.7804,-127.1743,19.72,93,100,2.3,overcast clouds
204,Lorengau,PG,-2.0226,147.2712,77.25,91,100,12.71,moderate rain
205,Berezovyy,RU,51.6667,135.7,6.64,82,7,2.91,clear sky
206,Adrar,MR,20.5022,-10.0711,69.21,20,100,15.93,overcast clouds
207,Pemangkat,ID,1.1667,108.9667,82.04,69,87,16.69,overcast clouds
208,Zilair,RU,52.2332,57.4392,10.42,96,99,5.3,overcast clouds
209,Cueramaro,MX,20.6167,-101.7167,53.02,37,44,3.65,scattered clouds
210,Yulara,AU,-25.2406,130.9889,94.48,29,61,14.63,broken clouds
211,Newport,GB,51.5877,-2.9984,49.12,88,100,24.79,overcast clouds
212,Sendafa,ET,9.15,39.0333,45.37,93,70,3.02,broken clouds
213,Laguna,US,38.421,-121.4238,51.78,93,100,10.36,light rain
214,Vardo,NO,70.3705,31.1107,26.58,86,75,17.27,broken clouds
215,Iqaluit,CA,63.7506,-68.5145,-15.07,76,40,21.85,scattered clouds
216,Morondava,MG,-20.2833,44.2833,77.72,85,93,5.41,light rain
217,Gombong,ID,-7.6072,109.5142,84.7,66,100,5.53,light rain
218,Brigantine,US,39.4101,-74.3646,38.01,87,0,0.0,clear sky
219,Kavieng,PG,-2.5744,150.7967,80.22,81,100,12.86,moderate rain
220,Dondaicha,IN,21.3333,74.5667,75.9,36,0,1.14,clear sky
221,Uruana,BR,-15.4981,-49.6875,68.31,95,97,1.86,overcast clouds
222,Port Elizabeth,ZA,-33.918,25.5701,59.09,94,20,3.44,few clouds
223,Qingdao,CN,36.0986,120.3719,35.2,27,0,4.47,clear sky
224,Escanaba,US,45.7453,-87.0646,41.31,99,100,5.14,fog
225,Christchurch,NZ,-43.5333,172.6333,62.94,59,75,13.8,broken clouds
226,Hirado,JP,33.3597,129.5531,47.39,55,91,10.87,overcast clouds
227,Raga,SS,8.4596,25.678,62.06,34,5,4.09,clear sky
228,Auki,SB,-8.7676,160.7034,82.26,75,100,6.31,overcast clouds
229,Clyde River,CA,70.4692,-68.5914,-21.77,76,0,5.75,clear sky
230,San Andres,CO,12.5847,-81.7006,80.62,74,20,11.5,few clouds
231,Trairi,BR,-3.2778,-39.2689,75.81,89,0,6.53,clear sky
232,Caconda,AO,-13.7333,15.0667,57.88,96,92,0.56,overcast clouds
233,Makaha,US,21.4694,-158.2175,76.91,56,100,4.61,overcast clouds
234,Mokhsogollokh,RU,61.4681,128.9203,-12.66,95,99,5.99,overcast clouds
235,Opuwo,NA,-18.0607,13.84,69.89,73,99,2.93,overcast clouds
236,Kidal,ML,18.4411,1.4078,64.58,17,100,12.95,overcast clouds
